Date,Open,High,Low,Close,Volume
2023-01-03,122.0674813010394,125.59573347670961,121.53078897224552,123.97571563720703,35528500
2023-01-04,126.59954813929444,128.25932191868313,125.07892356487793,126.58961486816406,32397100
2023-01-05,125.35721196250985,127.73257565871367,123.77695736575359,126.1622543334961,25447100
2023-01-06,128.179788580679,129.53145632553807,125.267740692767,129.22335815429688,27584500
2023-01-09,130.3563904027696,132.13541645576194,128.48790425134828,128.67674255371094,26649100
2023-01-10,126.49022335284873,132.62242600945103,126.37096343633544,132.17518615722656,28684400
2023-01-11,130.1576377150046,133.02993058511953,129.54142603389022,132.0758056640625,25423000
2023-01-12,132.62242164142668,136.8364336493006,130.95270703873578,135.8723907470703,30757700
2023-01-13,134.143037322462,136.5482081142018,134.0138289821679,136.14071655273438,22423800
2023-01-17,135.34563826291023,135.912153237651,133.4274703631053,134.53067016601562,21147600
2023-01-18,134.97790106165695,136.40908072853546,131.9863485394316,132.2050018310547,20215500
2023-01-19,131.67826212905086,136.60786457376756,131.3304004524365,135.31582641601562,28625200
2023-01-20,135.05740878002345,139.08259768412512,133.78525248338724,138.51608276367188,28688600
2023-01-23,138.43658581728528,142.87920005678816,137.81045603873784,142.3922119140625,27470100
2023-01-24,140.82185726157238,144.11157421902107,140.4938773762727,142.26296997070312,21970200
2023-01-25,140.35475813154815,142.2928076122308,139.450329985463,140.63304138183594,26622000
2023-01-26,143.51525074406055,146.60619628612716,142.4219995766798,146.39749145507812,25482100
2023-01-27,147.33173213713678,152.2514002255982,146.48693406025146,150.81028747558594,35771900
2023-01-30,148.49457376224427,150.19408815910592,146.04963942401824,146.15896606445312,28040100
2023-01-31,147.04351150022737,148.96169433075355,146.6161533774126,148.05726623535156,29842100
2023-02-01,147.12302872377973,152.63902727227818,146.15897063668632,152.1818389892578,55661000
2023-02-02,182.25644348378054,195.95201280351327,179.05617107199924,187.61341857910156,150475700
2023-02-03,182.3458967715445,195.5644118824682,181.76944856034302,185.38714599609375,76809700
2023-02-06,185.38711966745257,189.531568038323,184.38331345007404,184.9199981689453,42483800
2023-02-07,184.44296668177904,192.59272284619692,183.27018856984475,190.44595336914062,47080700
2023-02-08,188.8358748844132,189.66079131558624,181.79925204256867,182.30612182617188,36139100
2023-02-09,184.98959960734402,185.50640268538584,176.18388358932918,176.82989501953125,37118800
