Date,SentimentScore
2023-01-04,-0.49735499247908593
2023-01-05,-0.7854187488555908
2023-01-06,0.0565287321805954
2023-01-09,0.07612995182474451
2023-01-10,-0.23638667042056719
2023-01-11,-0.24748403988778594
2023-01-12,-0.15408377349376676
2023-01-13,-0.8736390173435211
2023-01-16,-0.0326012810692191
2023-01-17,0.2652637213468551
2023-01-18,-0.4478026460856199
2023-01-19,-0.12472272043426831
2023-01-20,-0.3741159997880459
2023-01-23,0.12669694470241663
2023-01-24,0.2590402215719223
2023-01-25,-0.153821430302092
2023-01-26,-0.14434310048818588
2023-01-27,0.13670932874083513
2023-01-29,-0.199943795800209
2023-01-30,-0.25756370897094416
2023-01-31,0.03482980467379087
2023-02-01,0.20287363727887472
2023-02-02,0.20336514762179414
2023-02-04,-0.0329928658902645
2023-02-06,-0.22218446014449
2023-02-07,-0.17893520618478456
2023-02-08,0.07581952959299085
2023-02-09,-0.09399955400398799
2023-02-10,-0.6474155187606812
2023-02-11,-0.9568756818771362
2023-02-13,-0.05233848808954161
2023-02-16,0.13778432644903654
2023-02-17,0.0147935785353183
2023-02-18,0.0270239729434251
2023-02-19,0.07429351125444679
2023-02-21,0.03795402031391855
2023-02-22,-0.017831313113371567
2023-02-23,-0.11722553202084131
2023-02-24,0.0014805509043591125
2023-02-25,-0.2236854434013366
2023-02-27,0.09593184515833851
2023-02-28,0.35657389461994166
2023-03-01,-0.3430210649967193
2023-03-06,-0.862682044506073
2023-03-07,-0.48764664493501186
2023-03-08,-0.3487500691165526
2023-03-09,0.008295885985717174
2023-03-10,0.18957742614050702
2023-03-13,-0.45006631501019
2023-03-14,-0.7268671103520319
2023-03-15,-0.23115213853972302
2023-03-16,-0.30313059656570357
2023-03-17,0.08242436746756232
2023-03-19,-0.9637956619262696
2023-03-20,-0.23395995609462264
2023-03-21,-0.1700713485479354
2023-03-22,-0.31228458881378174
2023-03-24,-0.025472713013490033
2023-03-27,0.9372612237930298
2023-03-28,-0.05115290358662605
2023-03-29,0.0679970607161521
2023-03-30,0.17392452274050027
2023-03-31,-0.41587679646909237
2023-04-02,-0.3428145945072174
2023-04-03,0.0725805461406707
2023-04-04,0.0720477178692817
2023-04-05,-0.1746703837066889
2023-04-06,-0.2016553655266762
2023-04-07,-0.2914806958287955
2023-04-10,0.040622221926848064
2023-04-11,0.037864896468818146
2023-04-12,-0.4680233374238014
2023-04-13,0.35791228401164216
2023-04-14,0.22208171486854553
2023-04-17,0.35422349472840625
2023-04-18,-0.1026611022651196
2023-04-19,-0.9273700952529907
2023-04-20,-0.8337891846895218
2023-04-21,0.08801889792084691
2023-04-24,-0.4038594732992351
2023-04-25,0.07002368681132788
2023-04-26,0.14392270377049077
2023-04-27,0.18190556801855562
2023-04-28,-0.1534267651538054
2023-04-29,0.8444539904594421
2023-04-30,0.7300752401351929
2023-05-01,0.2155931293964386
2023-05-02,0.08822676166892046
2023-05-03,-0.0311333602294326
2023-05-04,0.3506321385502815
2023-05-05,0.0599348917603492
2023-05-06,0.0884923115372657
2023-05-07,-0.0441022925078868
2023-05-08,0.0197169799357652
2023-05-09,0.0440546565999587
2023-05-10,0.1071982532739639
2023-05-11,0.15348811766930984
2023-05-12,0.1840443760156631
2023-05-14,0.1331063210964203
2023-05-15,0.0133299455046653
2023-05-16,0.11119254305958745
2023-05-17,0.08118397854268548
2023-05-18,-0.0935638709501787
2023-05-20,-0.1334251463413238
2023-05-22,-0.5100904942623207
2023-05-23,-0.312297148630023
2023-05-24,-0.6744709717375892
2023-05-25,-0.0456616021692752
2023-05-26,-0.768575131893158
2023-05-30,0.05260282754898071
2023-05-31,-0.41270668804645533
2023-06-01,-0.2601652145385742
2023-06-03,-0.7066549062728882
2023-06-05,-0.0216230992227792
2023-06-06,-0.440769100561738
2023-06-07,0.3394356966018677
2023-06-09,-0.8744832277297974
2023-06-14,0.0524952709674835
2023-06-15,-0.1508983774110675
2023-06-16,-0.07960903799782197
2023-06-17,0.0394620895385742
2023-06-18,-0.5324274897575378
2023-06-19,-0.4204228557646275
2023-06-20,0.06640003994107244
2023-06-21,-0.4190961634740233
2023-06-22,0.012383493594825257
2023-06-23,-0.2547516986727715
2023-06-24,0.1357573568820953
2023-06-26,0.0483710207045078
2023-06-27,0.20164519663040453
2023-06-29,0.07081133717050152
2023-06-30,-0.21438930928707126
2023-07-03,0.0353471115231514
2023-07-04,-0.48438380161921185
2023-07-05,0.120933751974787
2023-07-06,-0.24057722805688783
2023-07-07,-0.1751856934279204
2023-07-08,0.16401440743356943
2023-07-09,-0.6792987585067749
2023-07-10,-0.24933798300723234
2023-07-11,-0.16721706943852563
2023-07-12,-0.08906070590019229
2023-07-13,0.0340597555041313
2023-07-14,0.02305733598768715
2023-07-17,0.2087389640510082
2023-07-18,0.14263335592113432
2023-07-19,-0.10999304135995254
2023-07-20,0.1039562821388244
2023-07-21,-0.5695178906122843
2023-07-23,-0.226821482181549
2023-07-24,-0.11594572725395362
2023-07-25,-0.04631802067160603
2023-07-26,0.14858852544178566
2023-07-27,0.03475579619407653
2023-07-28,0.2085349534948667
2023-07-30,0.0056010819971561
2023-07-31,0.0383302085101604
2023-08-01,-0.12477133003994825
2023-08-02,0.020046092569828033
2023-08-03,0.038092620298266364
2023-08-04,-0.1867936849594116
2023-08-05,0.2488919049501419
2023-08-07,-0.21825487539172175
2023-08-08,-0.2994112218064921
2023-08-09,-0.4623604528605938
2023-08-10,0.05206379294395447
2023-08-11,0.06091763451695435
2023-08-13,-0.0242983996868133
2023-08-14,-0.0292898006737232
