Date,SentimentScore
2023-01-02,0.0491856485605239
2023-01-03,0.2946418710052967
2023-01-05,0.08688851892948146
2023-01-06,0.04916533827781674
2023-01-10,-0.04864442907273772
2023-01-11,0.2110579945147037
2023-01-12,0.0100083351135253
2023-01-13,0.03938578628003593
2023-01-15,-0.955013632774353
2023-01-16,0.0286843609064817
2023-01-17,-0.2518736571073532
2023-01-18,-0.0011286131505455457
2023-01-19,0.032613374292850494
2023-01-20,-0.8786580251762643
2023-01-21,-0.39233347959816456
2023-01-23,-0.9201977849006654
2023-01-24,-0.4633346239104867
2023-01-25,-0.06131695077887605
2023-01-26,-0.2224227361381054
2023-01-27,0.31700376359124977
2023-01-28,0.3184825778007507
2023-01-29,0.0189775303006172
2023-01-30,0.3607209399342537
2023-01-31,-0.12397972010076048
2023-02-01,0.0856903493404388
2023-02-02,-0.2957287623236577
2023-02-03,0.25595326302573085
2023-02-06,0.1863192319869995
2023-02-07,0.0647811628878116
2023-02-08,-0.2267853319644928
2023-02-09,-0.3422052178066224
2023-02-10,0.22229007604931078
2023-02-11,0.0587850511074066
2023-02-13,-0.0237038768827915
2023-02-14,0.1740373387932777
2023-02-15,-0.1912852693349123
2023-02-16,0.15688085245589412
2023-02-17,0.022586253870810757
2023-02-18,0.0175957381725311
2023-02-20,0.2106801110009352
2023-02-21,0.046804059762507705
2023-02-22,0.13611852791574264
2023-02-23,-0.24537387697233093
2023-02-24,-0.342825286090374
2023-02-25,-0.009411796927452
2023-02-27,0.1543844171932765
2023-02-28,0.08669352065771814
2023-03-02,0.09536379110068074
2023-03-04,0.2688963823020458
2023-03-06,0.1599321663379669
2023-03-07,0.023479576222598497
2023-03-09,0.0663987100124359
2023-03-10,0.0561364963650703
2023-03-14,0.14779446274042124
2023-03-15,0.012394820898771286
2023-03-16,-0.01410939656198027
2023-03-17,0.0198097787797451
2023-03-20,0.3109521307051182
2023-03-21,0.016318501904606805
2023-03-22,0.07162906974554058
2023-03-23,0.07906656774381796
2023-03-24,0.13255379814654583
2023-03-25,0.044349052011966705
2023-03-27,0.04199859313666822
2023-03-28,0.198501591803506
2023-03-29,-0.03164158962093869
2023-03-30,0.08369199310739832
2023-03-31,0.10352975549176333
2023-04-03,-0.19873790116980677
2023-04-04,-0.13679974861443045
2023-04-05,0.1371468480676412
2023-04-06,0.1190092014148831
2023-04-07,0.8482222557067871
2023-04-10,0.08342702686786647
2023-04-11,0.0395997847829546
2023-04-12,0.038592891767620964
2023-04-13,0.23145868675783277
2023-04-14,-0.07916921377182
2023-04-16,0.04280869662761685
2023-04-17,-0.4762771325185895
2023-04-18,0.09190645379324752
2023-04-19,0.10620695329271254
2023-04-20,0.14523253124207255
2023-04-21,-0.17548405099660158
2023-04-23,0.0272865947335958
2023-04-24,0.23628711969488192
2023-04-25,0.1725592905034621
2023-04-26,0.17633521308501562
2023-04-27,0.17943696007132529
2023-04-28,0.02224354725331065
2023-05-01,0.0480570401996374
2023-05-02,-0.261901275254786
2023-05-03,-0.156046374887228
2023-05-04,0.5127430558204651
2023-05-05,0.038828636985272176
2023-05-08,0.04961945737401646
2023-05-09,0.002709360793232899
2023-05-10,0.1350988518180591
2023-05-11,0.1650318340398371
2023-05-12,0.0509204119443893
2023-05-15,0.2220015525817871
2023-05-17,0.116778277233243
2023-05-18,0.05363374544928471
2023-05-19,0.038164755702018716
2023-05-22,0.44637225568294525
2023-05-23,0.19712267257273194
2023-05-24,0.013382395729422552
2023-05-25,0.10067452614506088
2023-05-26,0.0717151379212737
2023-05-31,0.09141825744882223
2023-06-01,0.0768007710576057
2023-06-02,-0.2248957604169845
2023-06-03,-0.5599505305290222
2023-06-06,0.1080266237258911
2023-06-07,-0.14829466491937635
2023-06-08,0.16371455416083336
2023-06-09,-0.07649164584775767
2023-06-14,0.08146713467107876
2023-06-15,0.18815502827055747
2023-06-16,-0.0462540909647941
2023-06-17,0.6344038844108582
2023-06-18,-0.00909878406673665
2023-06-20,0.12202046879313207
2023-06-21,0.17906539160758256
2023-06-22,0.22137977369129652
2023-06-23,0.2817177524169286
2023-06-24,-0.0130873043090105
2023-06-25,-0.0238698422908782
2023-06-26,0.212584001943469
2023-06-27,-0.2634933656081557
2023-06-28,-0.10634466893970965
2023-06-29,0.05128090207775431
2023-06-30,0.02248972654342654
2023-07-01,0.0370092280209064
2023-07-03,-0.4521360620856285
2023-07-04,0.0226047625765204
2023-07-05,0.27025319635868067
2023-07-06,-0.013331651687622
2023-07-07,0.05423700933655098
2023-07-10,0.09700135253369806
2023-07-11,0.010550914332270615
2023-07-12,-0.1641201209276915
2023-07-13,0.06650538121660547
2023-07-14,0.0877924337983131
2023-07-17,0.24756381288170812
2023-07-18,-0.030020130177338938
2023-07-19,0.06465771980583666
2023-07-20,0.0583836873993277
2023-07-21,0.1174381822347641
2023-07-22,0.0301176272332668
2023-07-23,-0.0039343554526567
2023-07-24,-0.2637977637350559
2023-07-25,-0.011691311374306693
2023-07-26,0.0238854275750262
2023-07-27,0.06998872570693492
2023-07-28,-0.006874165187279437
2023-07-30,0.0092178136110305
2023-07-31,0.08388164080679411
2023-08-01,0.0777041045948863
2023-08-02,0.08018614212051027
2023-08-03,0.1978517919778823
2023-08-04,0.0042286813259124496
2023-08-06,0.2652077674865722
2023-08-07,0.0654973238706589
2023-08-08,0.06243440252728758
2023-08-09,0.30680101582159597
2023-08-10,-0.00712891519069675
2023-08-11,0.0698370188474655
2023-08-14,0.0282601714134216
2023-08-15,0.2016054314250747
2023-08-17,0.22589680614570773
