Ticker,TotalArticles,DaysWithNews,AvgArticlesPerDay,SentimentMean,SentimentStd,SameDayCorrelation,SameDayPValue,NextDayCorrelation,NextDayPValue,PositiveSentimentReturn,NeutralSentimentReturn,NegativeSentimentReturn
AAPL,2336,633,3.690363349131122,0.015492562959571226,0.24251446852816427,-0.010876434197781112,0.8150520940710578,0.07226942991221671,0.12004959405273716,0.10126896428608219,0.11459524555938531,0.31351693791394225
META,2248,535,4.201869158878504,-0.08387135310849718,0.28728875922763447,0.05210624180591185,0.2721718843662935,0.035825720364267975,0.45093281100450383,0.9079625578582332,0.3694674406579369,0.10027077742750715
MSFT,2379,529,4.497164461247637,0.16403251787744247,0.29719089225788614,0.017386328990369515,0.7063559302781837,0.035327941642024865,0.4443266928720021,0.16243214484124444,0.0917374831389112,0.2923841288678582
AMZN,2212,536,4.126865671641791,0.00939127711298461,0.2823593180396377,-0.027691156876642434,0.5518495057295352,0.004504078316277124,0.923000597023612,0.08930809953810387,0.1972416326805194,0.32050302491468435
GOOGL,2395,519,4.6146435452793835,0.05153370885049389,0.23935020884450725,0.04529021626926726,0.3372360411365603,0.0899359008640084,0.056600008888450584,0.638801861871725,0.1773078328912887,-0.26410978540145186
